strain	previous_names	isotype
AB1	NULL	AB1
BBA2	NULL	BBA2
BRC20067	NULL	BRC20067
BRC20113	NULL	BRC20067
BRC20558	NULL	BRC20067
BRC20263	NULL	BRC20263
DR1344	Bergerac_BO	CB4851
RW7000	NULL	CB4851
JU1563	O40.3.2	CB4852
CB4852	N3	CB4852
CB3198	PA2	CB4853
DR1350	PA2|CB3198	CB4853
CB3196	GA13	CB4854
CB3197	GA23	CB4854
CB4854	GA9	CB4854
CB4856	CB4856_(CGC_#3)|CB4856_CGC_3|CB4856_CGC|CB4856	CB4856
CB3199	PA3	CB4857
DR1345	NULL	CB4857
CB4932	NULL	CB4932
CX11254	HEY-046	CX11254
CX11294	HEY-027	CX11262
CX11262	HEY-028	CX11262
CX11264	HEY-034	CX11264
CX11319	HEY-055	CX11271
CX11271	HEY-050	CX11271
CX11316	HEY-058	CX11276
CX11276	HEY-056	CX11276
CX11321	HEY-063	CX11285
CX11285	HEY-061	CX11285
CX11259	HEY-013	CX11292
CX11292	HEY-016	CX11292
CX11307	HEY-011	CX11307
CX11314	HEY-036	CX11314
CX11268	HEY-038	CX11315
CX11315	HEY-039	CX11315
DL200	NULL	DL200
DL226	NULL	DL226
DL238	NULL	DL238
ECA1069	NULL	ECA1069
ECA1070	NULL	ECA1074
ECA1071	NULL	ECA1074
ECA1072	NULL	ECA1074
ECA1073	NULL	ECA1074
ECA1074	NULL	ECA1074
ECA1184	S-08069	ECA1185
ECA1185	S-08076	ECA1185
ECA1186	S-08083	ECA1186
ECA1187	S-08121	ECA1187
ECA1188	S-08122	ECA1187
ECA1189	S-08123	ECA1187
ECA1190	S-08124	ECA1187
ECA1191	S-08129	ECA1191
ECA1192	S-08146	ECA1192
ECA1193	S-08148	ECA1193
ECA1194	S-08170	ECA1194
ECA1195	S-08177	ECA1195
ECA1196	S-08249	ECA1196
ECA1200	S-08376	ECA1200
ECA3659	S-15948	ECA1200
ECA3666	S-15959	ECA1200
ECA1201	S-08490	ECA1202
ECA1202	S-08492	ECA1202
ECA1206	S-08528	ECA1206
ECA1973	S-12050	ECA1206
ECA1979	S-12052	ECA1206
ECA1983	S-12054	ECA1206
ECA1203	S-08519	ECA1208
ECA1204	S-08520	ECA1208
ECA1205	S-08527	ECA1208
ECA1207	S-08537	ECA1208
ECA1208	S-08538	ECA1208
